date,sku,stock_eod_qty,oos_flag,verified_available_flag,gross_sales_qty,return_qty,net_sales_qty,demand_baseline_qty,lost_sales_qty,lost_sales_value_est,ps_prijem_qty,ps_prijem_value,ps_unit_cost,lost_purchase_cost_est,lost_profit_est,sp_unit_net_price,sp_discount_share,sp_qty,sp_net_value,method_used,confidence_score,poslato_sum,pristiglo_sum,prvi_verifikovan_dt
2026-01-08,AF-K16,48.0,0,1,0.0,0.0,0.0,0.12800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-09,AF-K16,48.0,0,1,0.0,0.0,0.0,0.10240000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-10,AF-K16,48.0,0,1,0.0,0.0,0.0,0.08192000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-11,AF-K16,48.0,0,1,0.0,0.0,0.0,0.06553600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-12,AF-K16,47.0,0,1,1.0,0.0,1.0,0.2524288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,1.0,4450.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-13,AF-K16,47.0,0,1,0.0,0.0,0.0,0.20194304000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-14,AF-K16,47.0,0,1,0.0,0.0,0.0,0.16155443200000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-15,AF-K16,47.0,0,1,0.0,0.0,0.0,0.12924354560000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-16,AF-K16,47.0,0,1,0.0,0.0,0.0,0.10339483648000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-17,AF-K16,47.0,0,1,0.0,0.0,0.0,0.08271586918400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
