python : import time: self [us] | cumulative | imported package
At line:1 char:1
+ python -X importtime .\SRB1.2-razvoj.py ui 2>&1 | Out-File .\importti ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       308 |      26906 |     pandas.core.arrays
import time:       288 |        288 |     pandas.core.flags
import time:       502 |        502 |           pandas._libs.internals
import time:       348 |        348 |             pandas.core._numba
import time:       492 |        839 |           pandas.core._numba.executor
import time:       783 |       2123 |         pandas.core.apply
import time:        49 |         49 |             gc
import time:       341 |        341 |               pandas._libs.indexing
import time:       317 |        317 |                 pandas.core.indexes
import time:       847 |        847 |                   pandas._libs.index
import time:       376 |        376 |                   pandas._libs.writers
import time:       569 |        569 |                   pandas._libs.join
import time:       247 |        247 |                   pandas.core.array_algos.putmask
import time:       271 |        271 |                   pandas.core.indexes.frozen
import time:      1682 |       1682 |                   pandas.core.strings.accessor
import time:      1450 |       5438 |                 pandas.core.indexes.base
import time:      1366 |       1366 |                   pandas.core.indexes.extension
import time:       343 |       1709 |                 pandas.core.indexes.category
import time:       515 |        515 |                     pandas.core.indexes.range
import time:       233 |        233 |                       pandas.core.tools
import time:       352 |        585 |                     pandas.core.tools.timedeltas
import time:       581 |       1679 |                   pandas.core.indexes.datetimelike
import time:       234 |        234 |                   pandas.core.tools.times
import time:       658 |       2570 |                 pandas.core.indexes.datetimes
import time:      1042 |       1042 |                   pandas.core.indexes.multi
import time:       366 |        366 |                   pandas.core.indexes.timedeltas
import time:       706 |       2113 |                 pandas.core.indexes.interval
import time:       458 |        458 |                 pandas.core.indexes.period
import time:       443 |      13045 |               pandas.core.indexes.api
import time:       864 |      14250 |             pandas.core.indexing
import time:       237 |        237 |             pandas.core.sample
import time:       240 |        240 |             pandas.core.array_algos.replace
import time:       714 |        714 |                 pandas.core.internals.blocks
import time:       331 |       1044 |               pandas.core.internals.api
import time:       444 |        444 |                 pandas.core.internals.base
import time:       409 |        409 |                   pandas.core.internals.ops
import time:       621 |       1030 |                 pandas.core.internals.managers
import time:       512 |       1985 |               pandas.core.internals.array_manager
import time:       328 |        328 |               pandas.core.internals.concat
